zip,city,county,median_household_income,population,feature,area,density,nml_dens,nml_inc,color_key
20001,"Washington, DC ",District Of Columbia ,100447.0,41692,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[-77.027408, 38.928286], [-77.019818, 38.929058], [-77.014028, 38.926274], [-77.008939, 38.926677999999995], [-77.009002, 38.907274], [-77.01216, 38.906269], [-77.010268, 38.90565], [-77.01101, 38.903785], [-77.00906599999999, 38.903729999999996], [-77.009063, 38.901312000000004], [-77.012162, 38.901319], [-77.012174, 38.900199], [-77.009063, 38.900208], [-77.009062, 38.89479], [-77.007177, 38.894787], [-77.00757500000002, 38.893629], [-77.00817099999999, 38.89203], [-77.012227, 38.890834], [-77.015181, 38.891448], [-77.019899, 38.892759], [-77.01990099999999, 38.89734], [-77.02191599999999, 38.897276], [-77.021914, 38.898446], [-77.027034, 38.898316], [-77.028078, 38.898315], [-77.027035, 38.899816], [-77.027038, 38.911121], [-77.028082, 38.911125], [-77.02819699999999, 38.912607], [-77.027035, 38.912607], [-77.027408, 38.928286]]]}, 'properties': {'ZCTA5CE10': '20001', 'AFFGEOID10': '8600000US20001', 'GEOID10': '20001', 'ALAND10': 5655793, 'AWATER10': 159593}}",5.835523965484721,7144.5169699576245,0.7597514480533764,0.386273934536034,#0062ce
20002,"Washington, DC ",District Of Columbia ,82022.0,52867,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[-77.012227, 38.890834], [-77.00817099999999, 38.89203], [-77.005905, 38.892012], [-77.005889, 38.893625], [-77.00757500000002, 38.893629], [-77.007177, 38.894787], [-77.009062, 38.89479], [-77.009063, 38.900208], [-77.012174, 38.900199], [-77.012162, 38.901319], [-77.009063, 38.901312000000004], [-77.00906599999999, 38.903729999999996], [-77.01101, 38.903785], [-77.010268, 38.90565], [-77.01216, 38.906269], [-77.009002, 38.907274], [-77.008939, 38.926677999999995], [-77.00057, 38.925591], [-77.000569, 38.92237], [-76.996203, 38.922331], [-76.995638, 38.925363], [-76.99513, 38.923795999999996], [-77.00134100000001, 38.910437], [-76.97837899999999, 38.918607], [-76.94385799999999, 38.916871], [-76.945951, 38.915251999999995], [-76.95357299999999, 38.914381999999996], [-76.954459, 38.910959999999996], [-76.962218, 38.899497], [-76.961862, 38.8953], [-76.96336699999999, 38.889866999999995], [-76.977257, 38.889798], [-76.977257, 38.892004], [-76.98076200000001, 38.89201], [-76.98076400000001, 38.8898], [-76.99154399999999, 38.889226], [-77.000579, 38.889807999999995], [-77.000579, 38.890937], [-77.003515, 38.889807999999995], [-77.005916, 38.889812], [-77.00589699999999, 38.887612], [-77.00906499999999, 38.887588], [-77.01203199999999, 38.888926], [-77.012227, 38.890834]]]}, 'properties': {'ZCTA5CE10': '20002', 'AFFGEOID10': '8600000US20002', 'GEOID10': '20002', 'ALAND10': 13605793, 'AWATER10': 596109}}",14.228398833576032,3715.59727966333,0.9645868465430016,0.2842805661808258,#0048db
20003,"Washington, DC ",District Of Columbia ,118607.0,26330,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[-77.009109, 38.882079], [-77.009061, 38.885065000000004], [-77.00906499999999, 38.887588], [-77.00589699999999, 38.887612], [-77.005892, 38.886039], [-77.003514, 38.886039], [-77.003515, 38.889807999999995], [-77.000579, 38.890937], [-77.000579, 38.889807999999995], [-76.99154399999999, 38.889226], [-76.98076400000001, 38.8898], [-76.98076200000001, 38.89201], [-76.977257, 38.892004], [-76.977257, 38.889798], [-76.96336699999999, 38.889866999999995], [-76.973299, 38.878389999999996], [-76.97803100000002, 38.876881], [-76.99246000000001, 38.870129], [-77.00341499999999, 38.870878], [-77.00545699999999, 38.868707], [-77.007418, 38.869505], [-77.00916099999999, 38.870694], [-77.00907, 38.867284], [-77.010125, 38.867284], [-77.01065, 38.872034], [-77.009085, 38.872032], [-77.009109, 38.882079]], [[-76.994975, 38.879284], [-76.992654, 38.878585], [-76.992885, 38.879278], [-76.994975, 38.879284]]]}, 'properties': {'ZCTA5CE10': '20003', 'AFFGEOID10': '8600000US20003', 'GEOID10': '20003', 'ALAND10': 5809903, 'AWATER10': 709427}}",6.44778375889239,4083.5736719128136,0.4781692206173473,0.4868003697778565,#007cc1
20004,"Washington, DC ",District Of Columbia ,144583.0,1610,"{'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[-77.029619, 38.897338999999995], [-77.03196299999999, 38.897349], [-77.031955, 38.898317], [-77.02962, 38.898313], [-77.029619, 38.897338999999995]]], [[[-77.039464, 38.895396999999996], [-77.037959, 38.895393999999996], [-77.03502399999999, 38.895441], [-77.035117, 38.898761], [-77.03196299999999, 38.897349], [-77.031962, 38.896105], [-77.02964, 38.896125999999995], [-77.029619, 38.897338999999995], [-77.027033, 38.897349999999996], [-77.027034, 38.898316], [-77.021914, 38.898446], [-77.02191599999999, 38.897276], [-77.01990099999999, 38.89734], [-77.019899, 38.892759], [-77.0219, 38.892078], [-77.031964, 38.892092999999996], [-77.031955, 38.895499], [-77.03364499999999, 38.895479], [-77.033653, 38.892089999999996], [-77.039481, 38.8921], [-77.039464, 38.895396999999996]], [[-77.025998, 38.894836999999995], [-77.023975, 38.893876999999996], [-77.023972, 38.894796], [-77.025998, 38.894836999999995]]]]}, 'properties': {'ZCTA5CE10': '20004', 'AFFGEOID10': '8600000US20004', 'GEOID10': '20004', 'ALAND10': 901029, 'AWATER10': 0}}",0.9049051050861388,1779.1920842868299,0.025056822347679447,0.6305930284695735,#00a1ae
20005,"Washington, DC ",District Of Columbia ,94506.0,12311,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[-77.036518, 38.911124], [-77.028082, 38.911125], [-77.027038, 38.911121], [-77.027035, 38.899816], [-77.028078, 38.898315], [-77.027034, 38.898316], [-77.027033, 38.897349999999996], [-77.029619, 38.897338999999995], [-77.02962, 38.898313], [-77.031955, 38.898317], [-77.03196299999999, 38.897349], [-77.035117, 38.898761], [-77.034593, 38.901336], [-77.036542, 38.902525000000004], [-77.03653, 38.907021], [-77.034561, 38.908702], [-77.03652699999999, 38.908696], [-77.036518, 38.911124]]]}, 'properties': {'ZCTA5CE10': '20005', 'AFFGEOID10': '8600000US20005', 'GEOID10': '20005', 'ALAND10': 1103657, 'AWATER10': 0}}",1.122787188565923,10964.678013225455,0.22120390057922135,0.35338695481292454,#005ad2
20006,"Washington, DC ",District Of Columbia ,40000.0,2780,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[-77.04665299999999, 38.89957700000001], [-77.046651, 38.900693], [-77.04665299999999, 38.901317999999996], [-77.046649, 38.902526], [-77.046647, 38.903742], [-77.036542, 38.902525000000004], [-77.034593, 38.901336], [-77.035117, 38.898761], [-77.03502399999999, 38.895441], [-77.037959, 38.895393999999996], [-77.03799, 38.898638999999996], [-77.039252, 38.898742999999996], [-77.039464, 38.895396999999996], [-77.039481, 38.8921], [-77.041731, 38.8921], [-77.043474, 38.893514], [-77.04668199999999, 38.895316], [-77.048023, 38.896017], [-77.048847, 38.89736], [-77.04666399999999, 38.897352999999995], [-77.04665299999999, 38.89957700000001]], [[-77.043474, 38.893514], [-77.04172899999999, 38.893639], [-77.041727, 38.895405], [-77.041705, 38.897354], [-77.04346799999999, 38.897355], [-77.043472, 38.895398], [-77.043474, 38.893514]]]}, 'properties': {'ZCTA5CE10': '20006', 'AFFGEOID10': '8600000US20006', 'GEOID10': '20006', 'ALAND10': 879526, 'AWATER10': 0}}",0.920408579256627,3020.3977479711043,0.046502676149277805,0.05166372357444547,#000df8
20007,"Washington, DC ",District Of Columbia ,123154.0,23866,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[-77.10500272508, 38.9163375156884], [-77.101911, 38.918614999999996], [-77.10154299999999, 38.920429], [-77.10063099999999, 38.919731], [-77.098579, 38.921149], [-77.096504, 38.925823], [-77.094532, 38.925788], [-77.093721, 38.927299], [-77.08261700000001, 38.927864], [-77.081514, 38.926154], [-77.080942, 38.92821], [-77.078964, 38.926286999999995], [-77.077366, 38.927526], [-77.066384, 38.927527], [-77.066379, 38.924459], [-77.06313399999999, 38.921406], [-77.07088499999999, 38.923622], [-77.070374, 38.920663999999995], [-77.067785, 38.918648], [-77.059084, 38.918313], [-77.058903, 38.915473999999996], [-77.050146, 38.909635], [-77.053601, 38.908496], [-77.058594, 38.901331], [-77.057431, 38.899666], [-77.06280000000001, 38.901064], [-77.062752, 38.902037], [-77.06937119683259, 38.900366251131196], [-77.0706217017928, 38.9007628339105], [-77.08283921173229, 38.902094773373], [-77.0937, 38.905910999999996], [-77.10340000000001, 38.912911], [-77.10500272508, 38.9163375156884]], [[-77.07959799999999, 38.906814000000004], [-77.07152599999999, 38.905839], [-77.07309699999999, 38.912589], [-77.079016, 38.912679], [-77.07959799999999, 38.906814000000004]]]}, 'properties': {'ZCTA5CE10': '20007', 'AFFGEOID10': '8600000US20007', 'GEOID10': '20007', 'ALAND10': 7775138, 'AWATER10': 1302727}}",9.10328231840672,2621.6917332930843,0.43300461910697263,0.5119707277648922,#0083be
20008,"Washington, DC ",District Of Columbia ,120342.0,26034,"{'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[-77.057028, 38.970586], [-77.05571400000001, 38.972446999999995], [-77.053271, 38.972423], [-77.05349, 38.971027], [-77.057028, 38.970586]]], [[[-77.04993999999999, 38.944295], [-77.052207, 38.938092999999995], [-77.04821, 38.937180999999995], [-77.048104, 38.935162], [-77.050581, 38.933268], [-77.047179, 38.931441], [-77.04478499999999, 38.927451999999995], [-77.046055, 38.926054], [-77.049626, 38.928166999999995], [-77.048729, 38.922463], [-77.05021599999999, 38.921301], [-77.046228, 38.915839], [-77.047553, 38.912608], [-77.04663, 38.911128], [-77.046634, 38.910337999999996], [-77.050146, 38.909635], [-77.058903, 38.915473999999996], [-77.059084, 38.918313], [-77.067785, 38.918648], [-77.070374, 38.920663999999995], [-77.07088499999999, 38.923622], [-77.06313399999999, 38.921406], [-77.066379, 38.924459], [-77.066384, 38.927527], [-77.066389, 38.938151], [-77.070582, 38.939088999999996], [-77.072423, 38.938154999999995], [-77.07152599999999, 38.952172999999995], [-77.074107, 38.956589], [-77.071671, 38.956558], [-77.07018400000001, 38.95838], [-77.068463, 38.958312], [-77.0693, 38.957339], [-77.06823399999999, 38.956728999999996], [-77.066037, 38.958618], [-77.059144, 38.957519999999995], [-77.057355, 38.954347999999996], [-77.05321099999999, 38.951640999999995], [-77.04993999999999, 38.944295]]]]}, 'properties': {'ZCTA5CE10': '20008', 'AFFGEOID10': '8600000US20008', 'GEOID10': '20008', 'ALAND10': 7871408, 'AWATER10': 33133}}",7.927125650293961,3284.166436674885,0.47274360290343864,0.49640462997304163,#007fc0
20009,"Washington, DC ",District Of Columbia ,102941.0,46797,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[-77.04478499999999, 38.927451999999995], [-77.043368, 38.927969], [-77.04420999999999, 38.929563], [-77.042147, 38.928449], [-77.027408, 38.928286], [-77.027035, 38.912607], [-77.02819699999999, 38.912607], [-77.028082, 38.911125], [-77.036518, 38.911124], [-77.04663, 38.911128], [-77.047553, 38.912608], [-77.046228, 38.915839], [-77.05021599999999, 38.921301], [-77.048729, 38.922463], [-77.049626, 38.928166999999995], [-77.046055, 38.926054], [-77.04478499999999, 38.927451999999995]]]}, 'properties': {'ZCTA5CE10': '20009', 'AFFGEOID10': '8600000US20009', 'GEOID10': '20009', 'ALAND10': 3404526, 'AWATER10': 25629}}",3.4268694763186334,13655.90382808288,0.8533250238287264,0.40007971259182173,#0066cc
20010,"Washington, DC ",District Of Columbia ,81106.0,28736,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[-77.019033, 38.93739800000001], [-77.018277, 38.930556], [-77.006976, 38.93121], [-77.008939, 38.926677999999995], [-77.014028, 38.926274], [-77.019818, 38.929058], [-77.027408, 38.928286], [-77.042147, 38.928449], [-77.04420999999999, 38.929563], [-77.043368, 38.927969], [-77.04478499999999, 38.927451999999995], [-77.047179, 38.931441], [-77.050581, 38.933268], [-77.03558, 38.938665], [-77.033808, 38.937618], [-77.023141, 38.937649], [-77.02308599999999, 38.936622], [-77.019033, 38.93739800000001]]]}, 'properties': {'ZCTA5CE10': '20010', 'AFFGEOID10': '8600000US20010', 'GEOID10': '20010', 'ALAND10': 2804363, 'AWATER10': 16260}}",2.8184133884882283,10195.807370690121,0.522270694332429,0.2792099596455004,#0047dc
